DISTRICTS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
BAGALKOTE,2008,0.0,16.7,94.2,10.3,37.5,46.5,28.3,60.2,135.4,60.3,27.2,0.3
BAGALKOTE,2009,0.0,0.0,2.9,14.8,66.3,119.0,41.7,107.3,195.6,220.1,28.8,31.2
BAGALKOTE,2010,13.4,0.1,0.0,10.6,57.4,109.7,89.6,149.3,64.2,58.3,83.2,0.4
BAGALKOTE,2011,0.0,1.9,0.4,39.2,81.0,74.9,77.6,107.0,57.1,90.4,0.0,0.0
BENGALURU RURAL,2008,0.0,2.1,100.9,15.2,100.7,11.8,149.1,223.0,103.9,150.4,25.2,2.3
BENGALURU RURAL,2009,0.0,0.0,17.3,11.7,92.4,96.3,30.0,101.5,258.1,23.2,31.3,20.0
BENGALURU RURAL,2010,0.0,0.0,18.5,42.4,114.0,141.4,145.6,148.4,108.9,86.1,149.1,11.2
BENGALURU RURAL,2011,0.0,2.5,2.7,88.7,97.5,47.4,106.1,230.6,61.9,130.2,26.7,5.2
BENGALURU URBAN,2008,0.1,9.9,115.4,30.4,87.1,59.2,182.5,247.4,105.6,210.9,47.6,0.3
BENGALURU URBAN,2009,0.1,0.0,15.2,63.9,123.8,125.4,30.2,162.2,335.3,35.2,66.8,17.5
BENGALURU URBAN,2010,5.4,0.0,17.4,97.5,123.9,67.3,112.3,121.1,149.9,95.8,166.8,2.7
BENGALURU URBAN,2011,0.0,18.2,2.0,157.8,139.1,54.5,92.6,237.5,89.3,170.8,64.8,5.9
BELAGAVI,2008,0.0,2.6,102.2,26.1,11.0,127.0,79.1,187.2,178.6,56.2,31.3,0.0
BELAGAVI,2009,0.0,0.0,7.8,12.6,85.3,113.7,391.3,185.1,220.9,199.5,63.5,1.6
BELAGAVI,2010,8.9,0.7,0.4,23.6,17.4,185.5,240.7,165.3,150.9,115.4,97.8,0.8
