FLOW_DATE,RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
2011-01-01,Hemavathi,31.6,2916.07,981,2001.0
2011-01-02,Hemavathi,31.5,2915.95,849,1950.0
2011-01-03,Hemavathi,31.39,2915.82,782,1950.0
2011-01-04,Hemavathi,31.34,2915.77,695,1075.0
2011-01-05,Hemavathi,31.34,2915.77,661,550.0
2011-01-06,Hemavathi,31.33,2915.75,564,650.0
2011-01-07,Hemavathi,31.3,2915.72,566,750.0
2011-01-08,Hemavathi,31.27,2915.69,566,750.0
2011-01-09,Hemavathi,31.27,2915.68,613,600.0
2011-01-10,Hemavathi,31.26,2915.67,612,600.0
2011-01-11,Hemavathi,31.23,2915.64,684,866.0
2011-01-12,Hemavathi,31.21,2915.61,469,454.0
2011-01-13,Hemavathi,31.21,2915.61,469,454.0
2011-01-14,Hemavathi,31.2,2915.60,365,350.0
2011-01-15,Hemavathi,31.18,2915.58,266,350.0
2011-01-16,Hemavathi,31.16,2915.56,266,350.0
2011-01-17,Hemavathi,31.15,2915.54,269,350.0
2011-01-18,Hemavathi,31.12,2915.51,170,350.0
2011-01-19,Hemavathi,31.11,2915.50,209,192.0
2011-01-20,Hemavathi,31.1,2915.49,167,150.0
2011-01-21,Hemavathi,31.1,2915.48,167,150.0
2011-01-22,Hemavathi,31.09,2915.47,187,150.0
2011-01-23,Hemavathi,31.08,2915.46,167,150.0
2011-01-24,Hemavathi,31.07,2915.45,169,150.0
2011-01-25,Hemavathi,31.06,2915.44,171,150.0
2011-01-26,Hemavathi,31.04,2915.42,171,150.0
2011-01-27,Hemavathi,31.04,2915.42,171,150.0
2011-01-28,Hemavathi,31.04,2915.41,171,150.0
2011-01-29,Hemavathi,31.03,2915.40,171,150.0
2011-01-30,Hemavathi,31.02,2915.39,171,150.0
2011-01-31,Hemavathi,31.01,2915.38,169,150.0
2011-02-01,Hemavathi,31.0,2915.37,169,150.0
2011-02-02,Hemavathi,30.99,2915.36,168,150.0
2011-02-03,Hemavathi,30.99,2915.35,171,150.0
2011-02-04,Hemavathi,30.98,2915.34,173,150.0
2011-02-05,Hemavathi,30.97,2915.33,173,150.0
2011-02-06,Hemavathi,30.96,2915.32,175,150.0
2011-02-07,Hemavathi,30.95,2915.31,175,150.0
2011-02-08,Hemavathi,30.94,2915.30,178,150.0
2011-02-09,Hemavathi,30.93,2915.29,177,150.0
2011-02-10,Hemavathi,30.93,2915.28,180,150.0
2011-02-11,Hemavathi,30.92,2915.27,217,187.0
2011-02-12,Hemavathi,30.79,2915.12,152,1500.0
2011-02-13,Hemavathi,30.66,2914.97,154,1500.0
2011-02-14,Hemavathi,30.53,2914.82,156,1500.0
2011-02-15,Hemavathi,30.41,2914.67,155,1500.0
2011-02-16,Hemavathi,30.28,2914.52,157,1500.0
2011-02-17,Hemavathi,30.09,2914.30,134,2166.0
2011-02-18,Hemavathi,29.88,2914.05,122,2450.0
2011-02-19,Hemavathi,29.67,2913.79,168,2500.0
2011-02-20,Hemavathi,29.38,2913.44,144,3300.0
2011-02-21,Hemavathi,29.11,2913.10,138,3200.0
2011-02-22,Hemavathi,28.84,2912.77,180,3150.0
2011-02-23,Hemavathi,28.56,2912.43,186,3250.0
2011-02-24,Hemavathi,28.26,2912.06,155,3500.0
2011-02-25,Hemavathi,27.96,2911.67,125,3500.0
2011-02-26,Hemavathi,27.66,2911.28,152,3500.0
2011-02-27,Hemavathi,27.36,2910.89,151,3500.0
2011-02-28,Hemavathi,27.06,2910.50,150,3500.0
2011-03-01,Hemavathi,26.76,2910.11,151,3500.0
2011-03-02,Hemavathi,26.46,2909.71,167,3500.0
2011-03-03,Hemavathi,26.16,2909.30,121,3500.0
2011-03-04,Hemavathi,25.86,2908.89,120,3500.0
2011-03-05,Hemavathi,25.86,2908.89,120,3500.0
2011-03-06,Hemavathi,25.25,2908.07,120,3500.0
2011-03-07,Hemavathi,24.95,2907.65,125,3500.0
2011-03-08,Hemavathi,24.64,2907.22,64,3500.0
2011-03-09,Hemavathi,24.33,2906.79,63,3500.0
2011-03-10,Hemavathi,24.02,2906.36,62,3500.0
2011-03-11,Hemavathi,23.72,2905.93,76,3500.0
2011-03-12,Hemavathi,23.41,2905.49,60,3500.0
2011-03-13,Hemavathi,23.12,2905.07,96,3375.0
2011-03-14,Hemavathi,22.82,2904.64,51,3375.0
2011-03-15,Hemavathi,22.56,2904.27,38,2875.0
2011-03-16,Hemavathi,22.31,2903.90,79,2900.0
2011-03-17,Hemavathi,22.06,2903.54,92,2800.0
2011-03-18,Hemavathi,21.8,2903.16,34,2900.0
2011-03-19,Hemavathi,21.55,2902.78,83,2950.0
2011-03-20,Hemavathi,21.29,2902.40,83,2950.0
2011-03-21,Hemavathi,21.03,2902.02,107,2950.0
2011-03-22,Hemavathi,20.78,2901.64,43,2850.0
2011-03-23,Hemavathi,20.52,2901.26,46,2850.0
2011-03-24,Hemavathi,20.2,2900.78,75,3650.0
2011-03-25,Hemavathi,19.9,2900.32,25,3450.0
2011-03-26,Hemavathi,19.59,2899.84,63,3450.0
2011-03-27,Hemavathi,19.29,2899.30,51,3450.0
2011-03-28,Hemavathi,18.99,2898.76,49,3450.0
2011-03-29,Hemavathi,18.99,2898.76,49,3450.0
2011-03-30,Hemavathi,18.38,2897.68,48,3450.0
2011-03-31,Hemavathi,18.07,2897.14,46,3450.0
2011-04-01,Hemavathi,17.77,2896.60,46,3450.0
2011-04-02,Hemavathi,17.46,2896.06,43,3450.0
2011-04-03,Hemavathi,17.16,2895.52,42,3450.0
