FLOW_DATE,RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
2011-01-01,Kabini,16.04,2278.22,570,50
2011-01-02,Kabini,16.08,2278.29,570,50
2011-01-03,Kabini,16.12,2278.37,635,50
2011-01-04,Kabini,16.16,2278.43,506,50
2011-01-05,Kabini,16.19,2278.49,506,50
2011-01-06,Kabini,16.22,2278.55,506,50
2011-01-07,Kabini,16.26,2278.61,506,50
2011-01-08,Kabini,16.29,2278.67,506,50
2011-01-09,Kabini,16.33,2278.73,506,50
2011-01-10,Kabini,16.36,2278.79,506,50
2011-01-11,Kabini,16.39,2278.84,442,50
2011-01-12,Kabini,16.44,2278.93,377,50
2011-01-13,Kabini,16.44,2278.93,377,50
2011-01-14,Kabini,16.45,2278.96,313,50
2011-01-15,Kabini,16.47,2278.99,313,50
2011-01-16,Kabini,16.48,2279.01,250,50
2011-01-17,Kabini,16.49,2279.03,252,50
2011-01-18,Kabini,16.51,2279.06,317,50
2011-01-19,Kabini,16.53,2279.09,317,50
2011-01-20,Kabini,16.54,2279.12,318,50
2011-01-21,Kabini,16.56,2279.14,252,50
2011-01-22,Kabini,16.57,2279.16,252,50
2011-01-23,Kabini,16.58,2279.18,252,50
2011-01-24,Kabini,16.59,2279.20,252,50
2011-01-25,Kabini,16.6,2279.22,252,50
2011-01-26,Kabini,16.61,2279.24,186,50
2011-01-27,Kabini,16.61,2279.24,186,50
2011-01-28,Kabini,16.55,2279.13,225,881
2011-01-29,Kabini,16.47,2278.99,148,1000
2011-01-30,Kabini,16.41,2278.89,150,725
2011-01-31,Kabini,16.36,2278.79,125,700
2011-02-01,Kabini,16.3,2278.69,125,700
2011-02-02,Kabini,16.25,2278.59,128,700
2011-02-03,Kabini,16.19,2278.49,128,700
2011-02-04,Kabini,16.19,2278.48,139,131
2011-02-05,Kabini,16.19,2278.48,123,50
2011-02-06,Kabini,16.19,2278.48,123,50
2011-02-07,Kabini,16.19,2278.48,123,50
2011-02-08,Kabini,16.19,2278.48,123,50
2011-02-09,Kabini,16.19,2278.48,123,50
2011-02-10,Kabini,16.19,2278.48,123,50
2011-02-11,Kabini,16.15,2278.42,119,433
2011-02-12,Kabini,16.09,2278.31,114,750
2011-02-13,Kabini,16.03,2278.20,114,750
2011-02-14,Kabini,15.97,2278.09,133,770
2011-02-15,Kabini,15.91,2277.98,134,770
2011-02-16,Kabini,15.85,2277.87,138,770
2011-02-17,Kabini,15.79,2277.76,138,770
2011-02-18,Kabini,15.73,2277.65,138,770
2011-02-19,Kabini,15.67,2277.55,115,683
2011-02-20,Kabini,15.61,2277.45,102,670
2011-02-21,Kabini,15.56,2277.35,102,670
2011-02-22,Kabini,15.5,2277.25,101,670
2011-02-23,Kabini,15.45,2277.15,101,670
2011-02-24,Kabini,15.39,2277.05,101,670
2011-02-25,Kabini,15.32,2276.92,114,870
2011-02-26,Kabini,15.2,2276.69,341,1728
2011-02-27,Kabini,15.06,2276.45,345,1795
2011-02-28,Kabini,14.96,2276.26,170,1303
2011-03-01,Kabini,14.86,2276.07,137,1207
2011-03-02,Kabini,14.72,2275.82,107,1563
2011-03-03,Kabini,14.57,2275.55,102,1680
2011-03-04,Kabini,14.43,2275.28,102,1680
2011-03-05,Kabini,14.43,2275.28,102,1680
2011-03-06,Kabini,14.11,2274.70,127,1880
2011-03-07,Kabini,13.95,2274.40,127,1880
2011-03-08,Kabini,13.8,2274.11,102,1793
2011-03-09,Kabini,13.64,2273.82,98,1780
2011-03-10,Kabini,13.49,2273.53,102,1780
2011-03-11,Kabini,13.34,2273.25,103,1720
2011-03-12,Kabini,13.19,2272.97,70,1683
2011-03-13,Kabini,13.05,2272.70,83,1600
2011-03-14,Kabini,12.91,2272.43,82,1600
2011-03-15,Kabini,12.76,2272.16,82,1600
2011-03-16,Kabini,12.62,2271.88,83,1640
2011-03-17,Kabini,12.47,2271.59,54,1640
2011-03-18,Kabini,12.33,2271.30,53,1640
2011-03-19,Kabini,12.18,2271.01,52,1640
2011-03-20,Kabini,12.04,2270.73,46,1540
2011-03-21,Kabini,11.91,2270.47,61,1440
2011-03-22,Kabini,11.79,2270.21,61,1440
