FLOW_DATE,RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
2011-01-01,K.R.S,46.42,122.59,2029,2000
2011-01-02,K.R.S,46.54,122.68,3084,1490
2011-01-03,K.R.S,46.64,122.75,2776,1491
2011-01-04,K.R.S,46.69,122.79,2311,1491
2011-01-05,K.R.S,46.7,122.80,1847,1491
2011-01-06,K.R.S,46.74,122.83,2156,1491
2011-01-07,K.R.S,46.76,122.84,1847,1491
2011-01-08,K.R.S,46.78,122.86,2002,1491
2011-01-09,K.R.S,46.77,122.85,1537,1491
2011-01-10,K.R.S,46.74,122.83,1382,1491
2011-01-11,K.R.S,46.7,122.80,1228,1491
2011-01-12,K.R.S,46.45,122.61,1530,4272
2011-01-13,K.R.S,46.45,122.61,1530,4272
2011-01-14,K.R.S,46.13,122.37,1667,5183
2011-01-15,K.R.S,45.77,122.10,1184,5164
2011-01-16,K.R.S,45.45,121.86,1651,5123
2011-01-17,K.R.S,45.17,121.65,2103,5104
2011-01-18,K.R.S,44.95,121.48,2694,5089
2011-01-19,K.R.S,44.69,121.28,2205,5055
2011-01-20,K.R.S,44.44,121.09,2351,5049
2011-01-21,K.R.S,44.2,120.90,2347,5014
2011-01-22,K.R.S,43.94,120.70,2211,4998
2011-01-23,K.R.S,43.68,120.50,2195,4982
2011-01-24,K.R.S,43.45,120.32,2455,4946
2011-01-25,K.R.S,43.16,120.09,1709,4941
2011-01-26,K.R.S,42.59,119.64,1874,4891
2011-01-27,K.R.S,42.59,119.64,1874,4891
2011-01-28,K.R.S,42.34,119.44,2149,4618
2011-01-29,K.R.S,42.05,119.21,1682,4844
2011-01-30,K.R.S,41.79,119,1958,4830
2011-01-31,K.R.S,41.56,118.81,2277,4802
2011-02-01,K.R.S,41.3,118.60,1987,4796
2011-02-02,K.R.S,40.98,118.34,872,4404
2011-02-03,K.R.S,40.66,118.08,500,4030
2011-02-04,K.R.S,40.48,117.93,703,2639
2011-02-05,K.R.S,40.42,117.88,570,1097
2011-02-06,K.R.S,40.35,117.82,432,1097
2011-02-07,K.R.S,40.29,117.77,570,1097
2011-02-08,K.R.S,40.21,117.70,386,1191
2011-02-09,K.R.S,40.12,117.63,442,1246
2011-02-10,K.R.S,40.04,117.56,442,1246
2011-02-11,K.R.S,39.94,117.48,287,1230
2011-02-12,K.R.S,39.85,117.40,272,1215
2011-02-13,K.R.S,39.64,117.23,304,2495
2011-02-14,K.R.S,39.32,116.96,392,3957
2011-02-15,K.R.S,38.97,116.66,504,4407
2011-02-16,K.R.S,38.63,116.37,621,4388
2011-02-17,K.R.S,38.27,116.06,330,4368
2011-02-18,K.R.S,37.91,115.75,438,4401
2011-02-19,K.R.S,37.55,115.43,295,4373
2011-02-20,K.R.S,37.18,115.11,342,4420
2011-02-21,K.R.S,36.81,114.78,264,4409
2011-02-22,K.R.S,36.44,114.45,274,4387
2011-02-23,K.R.S,36.09,114.14,522,4376
2011-02-24,K.R.S,35.86,113.93,1823,4364
2011-02-25,K.R.S,35.61,113.70,1597,4353
2011-02-26,K.R.S,35.38,113.49,1839,4342
2011-02-27,K.R.S,35.13,113.26,1574,4330
2011-02-28,K.R.S,34.85,113,1187,4322
2011-03-01,K.R.S,34.51,112.69,635,4314
2011-03-02,K.R.S,34.17,112.37,500,4302
2011-03-03,K.R.S,33.83,112.05,500,4290
2011-03-04,K.R.S,33.5,111.73,565,4281
2011-03-05,K.R.S,33.5,111.73,565,4281
2011-03-06,K.R.S,33.38,111.62,1411,1014
2011-03-07,K.R.S,33.37,111.61,1041,1014
2011-03-08,K.R.S,33.37,111.61,950,914
2011-03-09,K.R.S,33.38,111.62,1191,914
2011-03-10,K.R.S,33.39,111.63,1191,914
2011-03-11,K.R.S,33.4,111.64,1240,964
2011-03-12,K.R.S,33.4,111.64,1120,964
2011-03-13,K.R.S,33.35,111.59,1017,1464
2011-03-14,K.R.S,33.14,111.39,579,2835
2011-03-15,K.R.S,32.79,111.05,260,4204
2011-03-16,K.R.S,32.43,110.70,262,4245
2011-03-17,K.R.S,32.08,110.35,270,4228
2011-03-18,K.R.S,31.72,110,254,4212
2011-03-19,K.R.S,31.43,109.71,1028,4202
2011-03-20,K.R.S,31.12,109.40,788,4192
2011-03-21,K.R.S,30.77,109.04,205,4184
2011-03-22,K.R.S,30.46,108.73,641,3974
2011-03-23,K.R.S,30.16,108.42,638,3960
2011-03-24,K.R.S,29.84,108.09,407,3954
2011-03-25,K.R.S,29.57,107.80,902,3947
2011-03-26,K.R.S,29.28,107.50,802,3934
2011-03-27,K.R.S,29.03,107.23,1124,3928
2011-03-28,K.R.S,28.76,106.95,1021,2922
2011-03-29,K.R.S,0.0,106.64,0,0
2011-03-30,K.R.S,28.2,106.34,625,4109
2011-03-31,K.R.S,27.89,106,613,4097
2011-04-01,K.R.S,27.57,105.65,587,4089
2011-04-02,K.R.S,27.26,105.30,632,4082
2011-04-03,K.R.S,26.92,104.92,330,4073
2011-04-04,K.R.S,26.57,104.52,194,4068
2011-04-05,K.R.S,26.21,104.12,189,4063
2011-04-06,K.R.S,25.86,103.71,150,4056
2011-04-07,K.R.S,25.51,103.30,172,4048
2011-04-08,K.R.S,25.17,102.90,287,4041
2011-04-09,K.R.S,24.85,102.52,547,4036
