DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,1.4,1.9,36.3,42.7,59.4,80.8,18.8,146.4,126.2,0.7,0.0,2013
BENGALURU RURAL,0.0,6.9,2.3,38.9,119.6,81.5,83.7,75.8,268.5,130.7,59.8,5.1,2013
BENGALURU URBAN,0.0,4.0,2.6,28.9,110.1,93.1,76.2,72.6,249.3,95.5,63.3,1.4,2013
BELAGAVI,0.2,4.1,3.7,19.0,52.1,128.5,225.3,92.1,170.3,76.6,2.1,0.1,2013
BELLARY,0.0,4.4,1.9,11.3,77.9,94.9,85.0,70.3,127.9,122.3,8.3,0.0,2013
BIDAR,1.7,11.7,0.9,35.0,19.7,133.2,353.0,107.9,182.2,114.2,29.2,0.1,2013
VIJAYAPURA,0.3,2.3,2.0,28.7,21.4,86.9,122.2,51.4,201.3,94.8,1.4,0.0,2013
CHAMARAJANAGAR,0.0,0.4,4.8,74.4,82.9,46.5,75.9,75.5,157.1,108.3,49.3,3.8,2013
CHICKBALLAPUR,0.0,16.9,3.0,36.5,55.9,60.0,63.7,55.9,172.7,130.4,22.2,2.3,2013
CHIKKAMAGALURU,1.5,23.2,18.8,19.1,140.2,389.4,915.4,367.8,232.5,72.6,16.3,4.3,2013
CHITRADURGA,0.0,4.7,2.8,16.3,110.4,86.8,77.9,57.9,167.8,55.5,3.6,0.1,2013
DAKSHINA KANNADA,0.7,25.3,32.5,33.5,102.5,1228.1,1445.5,653.5,379.7,288.3,78.2,16.8,2013
DAVANGERE,0.2,4.5,15.6,37.2,147.0,110.7,149.1,115.5,161.9,70.6,4.2,0.0,2013
DHARWAD,0.4,4.9,11.7,8.5,105.5,86.2,159.6,77.7,160.8,69.2,1.8,0.0,2013
GADAG,0.0,0.0,10.5,47.1,58.1,79.9,52.8,43.1,169.8,80.9,0.3,0.0,2013
KALABURGI,0.0,12.1,2.6,25.8,40.3,112.7,192.9,77.0,294.7,74.8,5.7,0.3,2013
HASSAN,0.4,15.1,30.1,37.3,99.2,155.8,242.9,122.5,171.9,82.3,28.1,10.2,2013
HAVERI,16.3,6.0,3.6,45.9,60.9,125.4,214.2,91.3,143,69.8,1.7,0.0,2013
KODAGU,0.0,22.5,84.3,20.1,105.6,711.0,1169.7,488.8,238.9,159.7,28.2,2.5,2013
KOLAR,0.0,16.5,4.9,36.8,76.5,55.6,56.3,59.6,181.6,151.7,20.9,3.4,2013
KOPPAL,0.0,5.0,0.6,13.7,57.8,81.3,91.5,69.4,174.9,162.2,2.2,0.0,2013
MANDYA,0.0,15.6,10.8,58.2,91.7,50.0,32.8,34.4,173.4,95.5,43.8,3.1,2013
MYSURU,0.0,1.8,6.1,61.2,76.0,105.8,130.3,67.1,111.6,123.8,46.2,0.1,2013
RAICHUR,0.0,14.3,0.0,19.8,53.7,105.8,125.1,90.2,220.7,123.6,3.9,0.0,2013
RAMANAGARA,0.0,1.0,6.6,61.7,87.5,90.7,48.6,112.8,263.7,88.0,32.9,5.5,2013
SHIVAMOGGA,3.6,18.8,6.4,33.8,77.7,527.4,1239.4,476.4,222.2,136.0,13.5,1.2,2013
TUMKUR,0.0,5.8,3.0,22.5,84.9,59.8,41.8,58.9,253.5,95.4,28.3,0.3,2013
UDUPI,4.3,12.8,4.0,36.2,130.7,1339.7,1711.0,848.5,416.6,292.1,53.5,3.1,2013
UTTARA KANNADA,4.5,12.4,1.6,12.0,73.3,854.8,1518.1,611.8,350.1,195.7,14.3,0.6,2013
YADGIR,0.0,5.9,0.0,10.6,44.0,62.5,100.6,97.7,305.8,135.9,1.1,0.0,2013
