DISTRICTS,RAINFALL,YEAR,MONTH,DEPARTURE,SEASON
BAGALKOTE,0.0,2008,1,-100.0,WINTER
BELLARY,0.0,2008,1,-100.0,WINTER
KOLAR,0.0,2008,1,-100.0,WINTER
GULBARGA,0.0,2008,1,-100.0,WINTER
BANGALORE URBAN,0.1,2008,1,-88.0,WINTER
CHIKKAMAGALURU,0.0,2008,1,-100.0,WINTER
CHAMARAJANAGAR,0.6,2008,1,-84.0,WINTER
KODAGU,0.0,2008,1,-100.0,WINTER
DAKSHIN KANNADA,0.0,2008,1,-100.0,WINTER
KOPPAL,0.0,2008,1,-100.0,WINTER
CHITRADURGA,0.0,2008,1,-100.0,WINTER
HAVERI,0.0,2008,1,-100.0,WINTER
MYSURU,0.0,2008,1,-100.0,WINTER
MANDYA,0.0,2008,1,-100.0,WINTER
BIDAR,0.0,2008,1,-100.0,WINTER
UDUPI,0.0,2008,1,-100.0,WINTER
BIJAPUR,0.0,2008,1,-100.0,WINTER
DHARWAD,0.0,2008,1,-100.0,WINTER
DAVANGERE,0.0,2008,1,-100.0,WINTER
BELGAUM,0.0,2008,1,-100.0,WINTER
TUMKUR,0.0,2008,1,-100.0,WINTER
SHIMOGA,0.0,2008,1,-100.0,WINTER
BANGALORE RURAL,0.0,2008,1,-100.0,WINTER
RAICHUR,0.0,2008,1,-100.0,WINTER
HASSAN,0.0,2008,1,-100.0,WINTER
UTTAR KANNADA,0.0,2008,1,-100.0,WINTER
GADAG,0.0,2008,1,-100.0,WINTER
UTTAR KANNADA,0.0,2009,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2009,1,-100.0,WINTER
HASSAN,0.0,2009,1,-100.0,WINTER
TUMKUR,0.3,2009,1,-82.0,WINTER
BIDAR,0.0,2009,1,-100.0,WINTER
DAVANGERE,0.0,2009,1,-100.0,WINTER
BANGALORE RURAL,0.0,2009,1,-100.0,WINTER
UDUPI,0.0,2009,1,-100.0,WINTER
BELLARY,0.0,2009,1,-100.0,WINTER
CHITRADURGA,0.0,2009,1,-100.0,WINTER
GADAG,0.0,2009,1,-100.0,WINTER
SHIMOGA,0.0,2009,1,-100.0,WINTER
KOPPAL,0.0,2009,1,-100.0,WINTER
BELGAUM,0.0,2009,1,-100.0,WINTER
BANGALORE URBAN,0.1,2009,1,-88.0,WINTER
BAGALKOTE,0.0,2009,1,-100.0,WINTER
KOLAR,0.1,2009,1,-97.0,WINTER
GULBARGA,0.0,2009,1,-100.0,WINTER
MYSURU,0.0,2009,1,-100.0,WINTER
DHARWAD,0.0,2009,1,-100.0,WINTER
KODAGU,0.0,2009,1,-100.0,WINTER
HAVERI,0.0,2009,1,-100.0,WINTER
DAKSHIN KANNADA,0.0,2009,1,-100.0,WINTER
BIJAPUR,0.0,2009,1,-100.0,WINTER
MANDYA,0.0,2009,1,-100.0,WINTER
RAICHUR,0.0,2009,1,-100.0,WINTER
CHAMARAJANAGAR,0.0,2009,1,-100.0,WINTER
UTTAR KANNADA,8.9,2010,1,2125.0,WINTER
BELGAUM,8.9,2010,1,536.0,WINTER
MANDYA,7.0,2010,1,233.0,WINTER
BIJAPUR,8.5,2010,1,372.0,WINTER
SHIMOGA,17.1,2010,1,2038.0,WINTER
KOLAR,0.6,2010,1,-80.0,WINTER
MYSURU,0.0,2010,1,-100.0,WINTER
CHAMARAJANAGAR,0.7,2010,1,-81.0,WINTER
DAVANGERE,17.7,2010,1,941.0,WINTER
KOPPAL,11.3,2010,1,1313.0,WINTER
HASSAN,16.6,2010,1,655.0,WINTER
BANGALORE RURAL,0.0,2010,1,-100.0,WINTER
GADAG,6.6,2010,1,408.0,WINTER
BANGALORE URBAN,5.4,2010,1,575.0,WINTER
BIDAR,1.8,2010,1,-60.0,WINTER
GULBARGA,7.8,2010,1,144.0,WINTER
HAVERI,7.8,2010,1,1200.0,WINTER
UDUPI,14.6,2010,1,441.0,WINTER
KODAGU,12.4,2010,1,188.0,WINTER
RAICHUR,16.4,2010,1,1540.0,WINTER
CHIKKAMAGALURU,10.5,2010,1,518.0,WINTER
DAKSHIN KANNADA,15.5,2010,1,384.0,WINTER
TUMKUR,6.6,2010,1,288.0,WINTER
DHARWAD,8.6,2010,1,274.0,WINTER
BELLARY,19.2,2010,1,1271.0,WINTER
BAGALKOTE,13.4,2010,1,1118.0,WINTER
CHITRADURGA,7.5,2010,1,400.0,WINTER
DAKSHIN KANNADA,0.0,2011,1,-100.0,WINTER
UDUPI,0.0,2011,1,-100.0,WINTER
KOLAR,0.0,2011,1,-100.0,WINTER
DHARWAD,0.0,2011,1,-100.0,WINTER
RAMANAGARA,0.0,2011,1,-100.0,WINTER
UTTAR KANNADA,0.0,2011,1,-100.0,WINTER
TUMKUR,0.0,2011,1,-100.0,WINTER
BELLARY,0.0,2011,1,-100.0,WINTER
SHIMOGA,0.0,2011,1,-100.0,WINTER
MYSURU,0.6,2011,1,-76.0,WINTER
CHAMARAJANAGAR,0.3,2011,1,-91.0,WINTER
YADGIR,0.0,2011,1,-100.0,WINTER
DAVANGERE,0.0,2011,1,-100.0,WINTER
BIDAR,0.0,2011,1,-100.0,WINTER
BANGALORE URBAN,0.0,2011,1,-100.0,WINTER
MANDYA,0.0,2011,1,-100.0,WINTER
GULBARGA,1.6,2011,1,-63.0,WINTER
RAICHUR,0.0,2011,1,-100.0,WINTER
HASSAN,0.0,2011,1,-100.0,WINTER
BANGALORE RURAL,0.0,2011,1,-100.0,WINTER
HAVERI,0.0,2011,1,-100.0,WINTER
BIJAPUR,0.0,2011,1,-100.0,WINTER
CHITRADURGA,0.0,2011,1,-100.0,WINTER
BELGAUM,0.0,2011,1,-100.0,WINTER
KODAGU,0.7,2011,1,-80.0,WINTER
CHIKBALLAPURA,0.0,2011,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2011,1,-100.0,WINTER
BAGALKOTE,0.0,2011,1,-100.0,WINTER
KOPPAL,0.0,2011,1,-100.0,WINTER
GADAG,0.0,2011,1,-100.0,WINTER
DAVANGERE,0.0,2012,1,-100.0,WINTER
CHAMARAJANAGAR,1.8,2012,1,-47.0,WINTER
MANDYA,0.2,2012,1,-89.0,WINTER
BAGALKOTE,0.0,2012,1,-100.0,WINTER
BELGAUM,0.0,2012,1,-100.0,WINTER
BIDAR,0.6,2012,1,-90.0,WINTER
RAICHUR,0.0,2012,1,-100.0,WINTER
MYSURU,0.7,2012,1,-72.0,WINTER
KOPPAL,0.0,2012,1,-100.0,WINTER
HAVERI,0.0,2012,1,-100.0,WINTER
BANGALORE URBAN,0.1,2012,1,-96.0,WINTER
GADAG,0.0,2012,1,-100.0,WINTER
SHIMOGA,0.0,2012,1,-100.0,WINTER
DAKSHIN KANNADA,0.0,2012,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2012,1,-100.0,WINTER
KODAGU,0.5,2012,1,-86.0,WINTER
KOLAR,0.0,2012,1,-100.0,WINTER
YADGIR,0.0,2012,1,-100.0,WINTER
GULBARGA,0.2,2012,1,-95.0,WINTER
RAMANAGARA,0.0,2012,1,-100.0,WINTER
BANGALORE RURAL,0.0,2012,1,-100.0,WINTER
BIJAPUR,0.0,2012,1,-100.0,WINTER
UDUPI,0.0,2012,1,-100.0,WINTER
DHARWAD,0.0,2012,1,-100.0,WINTER
TUMKUR,0.0,2012,1,-100.0,WINTER
CHITRADURGA,0.0,2012,1,-100.0,WINTER
BELLARY,0.0,2012,1,-100.0,WINTER
UTTAR KANNADA,0.0,2012,1,-100.0,WINTER
