date,city_name,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain,clouds_all,broken clouds,overcast clouds,scattered clouds,sky is clear,few clouds,fog,light rain,mist,haze,moderate rain,heavy intensity rain,light intensity drizzle,drizzle,heavy intensity drizzle,very heavy rain,thunderstorm with heavy rain,thunderstorm with rain,thunderstorm,proximity shower rain,thunderstorm with light rain,shower rain,light intensity shower rain,light thunderstorm
2010-01-01,Hassan,21.77,22.02,17.22,26.35,1013.5,77.92,2.81,89.33,0.0,67.62,5,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,Kodagu,23.9,24.71,20.06,31.39,1012.17,83.5,1.55,104.21,0.94,51.92,3,4,8,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,Mysuru,24.18,24.51,18.82,30.3,1012.92,68.42,2.62,90.38,0.0,31.58,5,0,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,Hassan,20.73,20.8,14.47,27.35,1015.25,73.75,2.42,70.29,0.0,11.79,2,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,Kodagu,23.56,24.41,19.18,31.88,1014.08,78.38,1.41,112.46,0.0,22.75,3,0,3,13,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-02,Mysuru,23.21,23.24,16.74,29.32,1014.58,64.33,2.19,71.42,0.0,18.67,2,0,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,Hassan,19.5,19.42,13.35,24.73,1015.33,73.12,2.07,53.42,0.0,42.12,7,3,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,Kodagu,22.64,22.98,16.85,29.02,1014.12,73.62,1.22,92.29,0.0,48.17,11,2,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-03,Mysuru,22.56,22.34,16.12,27.79,1014.83,59.58,1.43,58.29,0.0,55.58,6,8,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,Hassan,19.36,19.15,13.18,26.74,1013.29,68.38,2.07,44.04,0.0,6.04,1,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,Kodagu,22.16,22.42,16.66,29.77,1012.58,73.46,1.02,130.46,0.0,3.38,0,0,1,20,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-04,Mysuru,22.8,22.31,16.49,28.72,1012.88,53.79,1.56,54.29,0.0,11.5,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,Hassan,20.36,20.23,14.48,26.77,1011.75,66.88,1.87,84.83,0.0,0.33,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,Kodagu,22.36,22.74,16.76,29.91,1010.96,75.92,1.29,130.62,0.0,0.08,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,Mysuru,23.02,22.57,15.77,29.04,1011.42,55.62,1.5,56.71,0.0,0.08,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-06,Hassan,20.45,20.35,15.85,26.13,1011.75,68.67,2.48,81.0,0.0,47.46,4,8,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-06,Kodagu,22.69,22.94,17.46,29.95,1010.58,72.46,1.35,128.12,0.0,42.5,5,6,0,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-06,Mysuru,23.22,23.0,17.2,28.78,1011.5,60.46,2.03,77.88,0.0,37.29,4,5,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,Hassan,19.95,19.9,15.15,25.21,1013.04,72.67,1.79,74.88,0.0,11.0,0,0,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,Kodagu,22.84,23.25,17.49,30.29,1011.96,75.46,1.4,142.46,0.0,15.62,0,0,2,14,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
