MONTH,DATE,DAY,SEASON
1,1,0,WINTER
1,2,1,WINTER
1,3,2,WINTER
1,4,3,WINTER
1,5,4,WINTER
1,6,5,WINTER
1,7,6,WINTER
1,8,7,WINTER
1,9,8,WINTER
1,10,9,WINTER
1,11,10,WINTER
1,12,11,WINTER
1,13,12,WINTER
1,14,13,WINTER
1,15,14,WINTER
1,16,15,WINTER
1,17,16,WINTER
1,18,17,WINTER
1,19,18,WINTER
1,20,19,WINTER
1,21,20,WINTER
1,22,21,WINTER
1,23,22,WINTER
1,24,23,WINTER
1,25,24,WINTER
1,26,25,WINTER
1,27,26,WINTER
1,28,27,WINTER
1,29,28,WINTER
1,30,29,WINTER
1,31,30,WINTER
2,1,31,WINTER
2,2,32,WINTER
2,3,33,WINTER
2,4,34,WINTER
2,5,35,WINTER
2,6,36,WINTER
2,7,37,WINTER
2,8,38,WINTER
2,9,39,WINTER
2,10,40,WINTER
2,11,41,WINTER
2,12,42,WINTER
2,13,43,WINTER
2,14,44,WINTER
2,15,45,WINTER
2,16,46,WINTER
2,17,47,WINTER
2,18,48,WINTER
2,19,49,WINTER
2,20,50,WINTER
2,21,51,WINTER
2,22,52,WINTER
2,23,53,WINTER
2,24,54,WINTER
2,25,55,WINTER
2,26,56,WINTER
2,27,57,WINTER
2,28,58,WINTER
2,29,365,WINTER
3,1,59,SUMMER
3,2,60,SUMMER
3,3,61,SUMMER
3,4,62,SUMMER
3,5,63,SUMMER
3,6,64,SUMMER
3,7,65,SUMMER
3,8,66,SUMMER
3,9,67,SUMMER
3,10,68,SUMMER
3,11,69,SUMMER
3,12,70,SUMMER
3,13,71,SUMMER
3,14,72,SUMMER
3,15,73,SUMMER
3,16,74,SUMMER
3,17,75,SUMMER
3,18,76,SUMMER
3,19,77,SUMMER
3,20,78,SUMMER
3,21,79,SUMMER
3,22,80,SUMMER
3,23,81,SUMMER
3,24,82,SUMMER
3,25,83,SUMMER
3,26,84,SUMMER
3,27,85,SUMMER
3,28,86,SUMMER
3,29,87,SUMMER
3,30,88,SUMMER
3,31,89,SUMMER
4,1,90,SUMMER
4,2,91,SUMMER
4,3,92,SUMMER
4,4,93,SUMMER
4,5,94,SUMMER
4,6,95,SUMMER
4,7,96,SUMMER
4,8,97,SUMMER
4,9,98,SUMMER
4,10,99,SUMMER
4,11,100,SUMMER
4,12,101,SUMMER
4,13,102,SUMMER
4,14,103,SUMMER
4,15,104,SUMMER
4,16,105,SUMMER
4,17,106,SUMMER
4,18,107,SUMMER
