FLOW_DATE,RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS
2011-01-01,Harangi,3.74,2835.90,142,0
2011-01-02,Harangi,3.76,2836.09,239,0
2011-01-03,Harangi,3.77,2836.22,166,0
2011-01-04,Harangi,3.78,2836.31,118,0
2011-01-05,Harangi,3.79,2836.41,130,0
2011-01-06,Harangi,3.81,2836.54,167,0
2011-01-07,Harangi,3.82,2836.63,118,0
2011-01-08,Harangi,3.83,2836.73,131,0
2011-01-09,Harangi,3.84,2836.81,112,0
2011-01-10,Harangi,3.85,2836.93,160,0
2011-01-11,Harangi,3.86,2837.06,172,0
2011-01-12,Harangi,3.88,2837.23,100,0
2011-01-13,Harangi,3.88,2837.23,100,0
2011-01-14,Harangi,3.89,2837.30,100,0
2011-01-15,Harangi,3.89,2837.37,100,0
2011-01-16,Harangi,3.9,2837.45,112,0
2011-01-17,Harangi,3.91,2837.52,100,0
2011-01-18,Harangi,3.92,2837.61,124,0
2011-01-19,Harangi,3.93,2837.68,100,0
2011-01-20,Harangi,3.93,2837.76,112,0
2011-01-21,Harangi,3.94,2837.83,100,0
2011-01-22,Harangi,3.95,2837.87,64,0
2011-01-23,Harangi,3.95,2837.94,100,0
2011-01-24,Harangi,3.96,2838.01,100,0
2011-01-25,Harangi,3.97,2838.06,76,0
2011-01-26,Harangi,3.98,2838.16,74,0
2011-01-27,Harangi,3.98,2838.16,74,0
2011-01-28,Harangi,3.98,2838.20,64,0
2011-01-29,Harangi,3.99,2838.27,100,0
2011-01-30,Harangi,3.99,2838.32,76,0
2011-01-31,Harangi,4.0,2838.36,64,0
2011-02-01,Harangi,4.0,2838.40,64,0
2011-02-02,Harangi,4.0,2838.44,64,0
2011-02-03,Harangi,4.01,2838.48,64,0
2011-02-04,Harangi,4.01,2838.51,52,0
2011-02-05,Harangi,4.02,2838.55,64,0
2011-02-06,Harangi,4.02,2838.58,52,0
2011-02-07,Harangi,4.02,2838.61,52,0
2011-02-08,Harangi,4.03,2838.65,64,0
2011-02-09,Harangi,4.03,2838.69,64,0
2011-02-10,Harangi,4.03,2838.72,52,0
2011-02-11,Harangi,4.04,2838.74,40,0
2011-02-12,Harangi,4.04,2838.77,52,0
2011-02-13,Harangi,4.04,2838.79,39,0
2011-02-14,Harangi,4.04,2838.81,41,0
2011-02-15,Harangi,4.05,2838.83,40,0
2011-02-16,Harangi,4.05,2838.86,52,0
2011-02-17,Harangi,4.05,2838.90,64,0
2011-02-18,Harangi,4.05,2838.91,28,0
2011-02-19,Harangi,4.06,2838.94,52,0
2011-02-20,Harangi,4.06,2838.97,52,0
2011-02-21,Harangi,4.06,2838.99,40,0
2011-02-22,Harangi,4.07,2839.02,52,0
2011-02-23,Harangi,4.07,2839.04,40,0
2011-02-24,Harangi,4.07,2839.06,40,0
2011-02-25,Harangi,4.08,2839.13,100,0
2011-02-26,Harangi,4.1,2839.33,256,0
2011-02-27,Harangi,4.1,2839.35,40,0
2011-02-28,Harangi,4.1,2839.36,28,0
2011-03-01,Harangi,4.1,2839.39,52,0
2011-03-02,Harangi,4.11,2839.41,40,0
2011-03-03,Harangi,4.11,2839.41,22,0
2011-03-04,Harangi,4.11,2839.42,34,0
2011-03-05,Harangi,4.11,2839.42,34,0
2011-03-06,Harangi,4.11,2839.43,34,0
2011-03-07,Harangi,4.11,2839.43,22,0
2011-03-08,Harangi,4.11,2839.43,22,0
2011-03-09,Harangi,4.11,2839.44,23,0
2011-03-10,Harangi,4.11,2839.43,29,0
2011-03-11,Harangi,4.11,2839.43,29,0
2011-03-12,Harangi,4.11,2839.43,29,0
2011-03-13,Harangi,4.11,2839.43,29,0
2011-03-14,Harangi,4.11,2839.43,29,0
2011-03-15,Harangi,4.11,2839.43,31,0
2011-03-16,Harangi,4.11,2839.44,34,0
2011-03-17,Harangi,4.11,2839.41,36,50
2011-03-18,Harangi,4.1,2839.39,32,40
2011-03-19,Harangi,4.1,2839.36,20,40
2011-03-20,Harangi,4.09,2839.33,20,40
2011-03-21,Harangi,4.09,2839.30,14,40
2011-03-22,Harangi,4.09,2839.28,27,40
2011-03-23,Harangi,4.09,2839.26,32,40
2011-03-24,Harangi,4.09,2839.24,32,40
2011-03-25,Harangi,4.09,2839.22,32,40
2011-03-26,Harangi,4.08,2839.20,32,40
2011-03-27,Harangi,4.08,2839.18,32,40
2011-03-28,Harangi,4.08,2839.16,38,40
2011-03-29,Harangi,4.08,2839.16,38,40
2011-03-30,Harangi,4.08,2839.14,23,50
2011-03-31,Harangi,4.08,2839.13,50,40
2011-04-01,Harangi,4.08,2839.12,34,30
2011-04-02,Harangi,4.07,2839.05,57,125
2011-04-03,Harangi,4.05,2838.91,48,200
2011-04-04,Harangi,4.04,2838.75,24,200
2011-04-05,Harangi,4.02,2838.59,24,200
2011-04-06,Harangi,4.0,2838.35,28,300
2011-04-07,Harangi,3.98,2838.16,38,250
2011-04-08,Harangi,3.95,2837.91,15,300
2011-04-09,Harangi,3.92,2837.67,27,300
2011-04-10,Harangi,3.91,2837.50,17,200
2011-04-11,Harangi,3.88,2837.20,10,350
2011-04-12,Harangi,3.86,2837.08,27,150
2011-04-13,Harangi,3.83,2836.75,24,400
2011-04-14,Harangi,3.81,2836.54,88,325
2011-04-15,Harangi,3.79,2836.33,63,300
2011-04-16,Harangi,3.76,2836.12,44,350
2011-04-17,Harangi,3.74,2835.91,68,300
2011-04-18,Harangi,3.73,2835.80,38,150
2011-04-19,Harangi,3.73,2835.82,44,0
2011-04-20,Harangi,3.74,2835.85,51,0
2011-04-21,Harangi,3.74,2835.90,75,0
2011-04-22,Harangi,3.76,2836.07,136,0
2011-04-23,Harangi,3.77,2836.15,112,0
2011-04-24,Harangi,3.77,2836.21,93,0
2011-04-25,Harangi,3.79,2836.33,160,0
2011-04-26,Harangi,3.79,2836.38,75,0
2011-04-27,Harangi,3.79,2836.40,39,0
2011-04-28,Harangi,3.79,2836.41,27,0
2011-04-29,Harangi,3.79,2836.42,27,0
2011-04-30,Harangi,3.79,2836.42,20,0
2011-05-01,Harangi,3.8,2836.50,117,0
2011-05-02,Harangi,3.81,2836.54,63,0
2011-05-03,Harangi,3.81,2836.56,39,0
2011-05-04,Harangi,3.81,2836.57,27,0
2011-05-05,Harangi,3.81,2836.58,27,0
2011-05-06,Harangi,3.81,2836.59,27,0
2011-05-07,Harangi,3.81,2836.60,27,0
2011-05-08,Harangi,3.81,2836.60,20,0
2011-05-09,Harangi,3.81,2836.57,27,43
2011-05-10,Harangi,3.81,2836.55,27,43
2011-05-11,Harangi,3.81,2836.52,27,43
2011-05-12,Harangi,3.8,2836.49,27,43
2011-05-13,Harangi,3.8,2836.46,27,43
2011-05-14,Harangi,3.81,2836.56,216,75
2011-05-15,Harangi,3.81,2836.54,72,75
2011-05-16,Harangi,3.79,2836.42,50,175
2011-05-17,Harangi,3.78,2836.29,34,175
2011-05-18,Harangi,3.78,2836.24,105,150
2011-05-19,Harangi,3.78,2836.23,100,100
2011-05-20,Harangi,3.78,2836.24,77,50
2011-05-21,Harangi,3.78,2836.24,37,10
2011-05-22,Harangi,3.78,2836.24,37,10
2011-05-23,Harangi,3.78,2836.26,27,0
2011-05-24,Harangi,3.78,2836.26,20,0
2011-05-25,Harangi,3.78,2836.27,33,0
2011-05-26,Harangi,3.78,2836.32,75,0
2011-05-27,Harangi,3.79,2836.33,27,0
2011-05-28,Harangi,3.79,2836.33,15,0
2011-05-29,Harangi,3.79,2836.39,87,0
2011-05-30,Harangi,3.79,2836.40,27,0
2011-05-31,Harangi,6.34,2836.40,15,0
2011-06-01,Harangi,3.8,2836.46,15,0
2011-06-02,Harangi,3.79,2836.41,27,0
2011-06-03,Harangi,3.8,2836.45,63,0
2011-06-04,Harangi,3.81,2836.58,172,0
2011-06-05,Harangi,3.82,2836.65,100,0
2011-06-06,Harangi,3.84,2836.82,220,0
2011-06-07,Harangi,3.85,2836.98,208,0
2011-06-08,Harangi,3.87,2837.13,196,0
2011-06-09,Harangi,3.89,2837.38,316,0
