FLOW_DATE,RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,YEAR,MONTH,DATE,DAY,SEASON
2011-01-01,Hemavathi,31.6,2916.07,981.0,2001.0,2011.0,1.0,1.0,0.0,WINTER
2012-01-01,Hemavathi,12.48,2886.90,111.0,4488.0,2012.0,1.0,1.0,0.0,WINTER
2014-01-01,Hemavathi,11.64,2884.84,125.0,3225.0,2014.0,1.0,1.0,0.0,WINTER
2015-01-01,Hemavathi,24.04,2906.38,104.0,4325.0,2015.0,1.0,1.0,0.0,WINTER
2016-01-01,Hemavathi,6.23,2869.10,163.0,125.0,2016.0,1.0,1.0,0.0,WINTER
2017-01-01,Hemavathi,5.06,2865.08,181.0,150.0,2017.0,1.0,1.0,0.0,WINTER
2018-01-01,Hemavathi,8.5,2877.04,174.0,175.0,2018.0,1.0,1.0,0.0,WINTER
2019-01-01,Hemavathi,9.67,2880,0.0,1675.0,2019.0,1.0,1.0,0.0,WINTER
2020-01-01,Hemavathi,20.14,2900.69,628.0,2800.0,2020.0,1.0,1.0,0.0,WINTER
2011-01-01,Harangi,3.74,2835.90,142.0,0.0,2011.0,1.0,1.0,0.0,WINTER
2012-01-01,Harangi,1.76,2808.74,66.0,630.0,2012.0,1.0,1.0,0.0,WINTER
2014-01-01,Harangi,1.26,2800.40,9.0,40.0,2014.0,1.0,1.0,0.0,WINTER
2015-01-01,Harangi,3.11,2825.55,956.0,1600.0,2015.0,1.0,1.0,0.0,WINTER
2016-01-01,Harangi,0.68,2786.72,87.0,0.0,2016.0,1.0,1.0,0.0,WINTER
2017-01-01,Harangi,2.58,2818.95,62.0,0.0,2017.0,1.0,1.0,0.0,WINTER
2018-01-01,Harangi,2.56,2818.79,163.0,80.0,2018.0,1.0,1.0,0.0,WINTER
2019-01-01,Harangi,1.65,2807.05,98.0,15.0,2019.0,1.0,1.0,0.0,WINTER
2020-01-01,Harangi,3.43,2831.83,140.0,50.0,2020.0,1.0,1.0,0.0,WINTER
2011-01-01,Kabini,16.04,2278.22,570.0,50.0,2011.0,1.0,1.0,0.0,WINTER
2012-01-01,Kabini,11.71,2270.06,520.0,50.0,2012.0,1.0,1.0,0.0,WINTER
2014-01-01,Kabini,14.42,2275.26,306.0,50.0,2014.0,1.0,1.0,0.0,WINTER
2015-01-01,Kabini,13.73,2273.98,287.0,1900.0,2015.0,1.0,1.0,0.0,WINTER
2016-01-01,Kabini,9.55,2265.40,409.0,200.0,2016.0,1.0,1.0,0.0,WINTER
2017-01-01,Kabini,7.58,2260.67,152.0,500.0,2017.0,1.0,1.0,0.0,WINTER
2018-01-01,Kabini,13.88,2274.27,129.0,500.0,2018.0,1.0,1.0,0.0,WINTER
2019-01-01,Kabini,15.1,2276.52,195.0,0.0,2019.0,1.0,1.0,0.0,WINTER
2020-01-01,Kabini,15.3,2276.88,308.0,50.0,2020.0,1.0,1.0,0.0,WINTER
2011-01-01,K.R.S,46.42,122.59,2029.0,2000.0,2011.0,1.0,1.0,0.0,WINTER
2012-01-01,K.R.S,40.97,118.33,4924.0,2488.0,2012.0,1.0,1.0,0.0,WINTER
2014-01-01,K.R.S,38.58,116.33,1885.0,1994.0,2014.0,1.0,1.0,0.0,WINTER
2015-01-01,K.R.S,43.26,120.17,1631.0,4419.0,2015.0,1.0,1.0,0.0,WINTER
2016-01-01,K.R.S,27.89,106,703.0,1965.0,2016.0,1.0,1.0,0.0,WINTER
2017-01-01,K.R.S,10.55,79.47,264.0,254.0,2017.0,1.0,1.0,0.0,WINTER
2018-01-01,K.R.S,25.55,103.35,291.0,3445.0,2018.0,1.0,1.0,0.0,WINTER
2019-01-01,K.R.S,36.59,114.58,581.0,685.0,2019.0,1.0,1.0,0.0,WINTER
2020-01-01,K.R.S,45.16,121.64,1388.0,1208.0,2020.0,1.0,1.0,0.0,WINTER
2011-01-02,Hemavathi,31.5,2915.95,849.0,1950.0,2011.0,1.0,2.0,1.0,WINTER
2014-01-02,Hemavathi,11.32,2884.07,109.0,3675.0,2014.0,1.0,2.0,1.0,WINTER
2015-01-02,Hemavathi,14.25,2890.36,126.0,2275.0,2015.0,1.0,2.0,1.0,WINTER
2016-01-02,Hemavathi,6.43,2870.20,165.0,125.0,2016.0,1.0,2.0,1.0,WINTER
2017-01-02,Hemavathi,5.05,2865.06,125.0,150.0,2017.0,1.0,2.0,1.0,WINTER
2018-01-02,Hemavathi,8.5,2877.03,174.0,175.0,2018.0,1.0,2.0,1.0,WINTER
2019-01-02,Hemavathi,9.64,2879.93,57.0,350.0,2019.0,1.0,2.0,1.0,WINTER
2020-01-02,Hemavathi,19.95,2900.40,529.0,2700.0,2020.0,1.0,2.0,1.0,WINTER
2011-01-02,Harangi,3.76,2836.09,239.0,0.0,2011.0,1.0,2.0,1.0,WINTER
2014-01-02,Harangi,1.26,2800.47,38.0,0.0,2014.0,1.0,2.0,1.0,WINTER
2015-01-02,Harangi,0.72,2787.81,168.0,0.0,2015.0,1.0,2.0,1.0,WINTER
2016-01-02,Harangi,0.69,2787.01,125.0,0.0,2016.0,1.0,2.0,1.0,WINTER
2017-01-02,Harangi,2.58,2819,52.0,0.0,2017.0,1.0,2.0,1.0,WINTER
2018-01-02,Harangi,2.57,2818.85,155.0,80.0,2018.0,1.0,2.0,1.0,WINTER
2019-01-02,Harangi,1.66,2807.21,94.0,15.0,2019.0,1.0,2.0,1.0,WINTER
2020-01-02,Harangi,3.44,2831.92,148.0,50.0,2020.0,1.0,2.0,1.0,WINTER
2011-01-02,Kabini,16.08,2278.29,570.0,50.0,2011.0,1.0,2.0,1.0,WINTER
2014-01-02,Kabini,14.44,2275.30,367.0,50.0,2014.0,1.0,2.0,1.0,WINTER
2015-01-02,Kabini,14.73,2275.83,306.0,50.0,2015.0,1.0,2.0,1.0,WINTER
2016-01-02,Kabini,9.56,2265.42,358.0,200.0,2016.0,1.0,2.0,1.0,WINTER
2017-01-02,Kabini,7.54,2260.57,107.0,500.0,2017.0,1.0,2.0,1.0,WINTER
2018-01-02,Kabini,13.84,2274.20,130.0,500.0,2018.0,1.0,2.0,1.0,WINTER
2019-01-02,Kabini,15.12,2276.55,258.0,0.0,2019.0,1.0,2.0,1.0,WINTER
2020-01-02,Kabini,15.32,2276.92,371.0,50.0,2020.0,1.0,2.0,1.0,WINTER
2011-01-02,K.R.S,46.54,122.68,3084.0,1490.0,2011.0,1.0,2.0,1.0,WINTER
2014-01-02,K.R.S,38.55,116.30,1550.0,1782.0,2014.0,1.0,2.0,1.0,WINTER
2015-01-02,K.R.S,39.88,117.43,1819.0,807.0,2015.0,1.0,2.0,1.0,WINTER
2016-01-02,K.R.S,27.78,105.88,616.0,1733.0,2016.0,1.0,2.0,1.0,WINTER
2017-01-02,K.R.S,10.55,79.46,269.0,254.0,2017.0,1.0,2.0,1.0,WINTER
2018-01-02,K.R.S,25.4,103.17,231.0,1887.0,2018.0,1.0,2.0,1.0,WINTER
2019-01-02,K.R.S,36.56,114.56,594.0,685.0,2019.0,1.0,2.0,1.0,WINTER
2020-01-02,K.R.S,45.16,121.64,1404.0,1208.0,2020.0,1.0,2.0,1.0,WINTER
2011-01-03,Hemavathi,31.39,2915.82,782.0,1950.0,2011.0,1.0,3.0,2.0,WINTER
2014-01-03,Hemavathi,10.71,2882.56,147.0,3625.0,2014.0,1.0,3.0,2.0,WINTER
2015-01-03,Hemavathi,14.06,2890.02,125.0,2275.0,2015.0,1.0,3.0,2.0,WINTER
2016-01-03,Hemavathi,6.23,2869.10,165.0,125.0,2016.0,1.0,3.0,2.0,WINTER
2017-01-03,Hemavathi,5.05,2865.06,181.0,150.0,2017.0,1.0,3.0,2.0,WINTER
2018-01-03,Hemavathi,8.5,2877.02,174.0,175.0,2018.0,1.0,3.0,2.0,WINTER
2019-01-03,Hemavathi,9.62,2879.88,151.0,350.0,2019.0,1.0,3.0,2.0,WINTER
2020-01-03,Hemavathi,19.77,2900.13,483.0,2500.0,2020.0,1.0,3.0,2.0,WINTER
2011-01-03,Harangi,3.77,2836.22,166.0,0.0,2011.0,1.0,3.0,2.0,WINTER
2014-01-03,Harangi,1.3,2801.27,126.0,0.0,2014.0,1.0,3.0,2.0,WINTER
2015-01-03,Harangi,0.73,2788.19,160.0,0.0,2015.0,1.0,3.0,2.0,WINTER
2016-01-03,Harangi,0.7,2787.25,104.0,0.0,2016.0,1.0,3.0,2.0,WINTER
2017-01-03,Harangi,2.59,2819.05,52.0,0.0,2017.0,1.0,3.0,2.0,WINTER
2018-01-03,Harangi,2.57,2818.91,155.0,80.0,2018.0,1.0,3.0,2.0,WINTER
2019-01-03,Harangi,1.67,2807.35,102.0,15.0,2019.0,1.0,3.0,2.0,WINTER
