RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,YEAR,MONTH,DATE,DAY
K.R.S,46.42,122.59,2029.0,2000.0,2011,1,1,0
K.R.S,46.54,122.68,3084.0,1490.0,2011,1,2,1
K.R.S,46.64,122.75,2776.0,1491.0,2011,1,3,2
K.R.S,46.69,122.79,2311.0,1491.0,2011,1,4,3
K.R.S,46.7,122.80,1847.0,1491.0,2011,1,5,4
K.R.S,46.74,122.83,2156.0,1491.0,2011,1,6,5
K.R.S,46.76,122.84,1847.0,1491.0,2011,1,7,6
K.R.S,46.78,122.86,2002.0,1491.0,2011,1,8,7
K.R.S,46.77,122.85,1537.0,1491.0,2011,1,9,8
K.R.S,46.74,122.83,1382.0,1491.0,2011,1,10,9
K.R.S,46.7,122.80,1228.0,1491.0,2011,1,11,10
K.R.S,46.45,122.61,1530.0,4272.0,2011,1,12,11
K.R.S,46.45,122.61,1530.0,4272.0,2011,1,13,12
K.R.S,46.13,122.37,1667.0,5183.0,2011,1,14,13
K.R.S,45.77,122.10,1184.0,5164.0,2011,1,15,14
K.R.S,45.45,121.86,1651.0,5123.0,2011,1,16,15
K.R.S,45.17,121.65,2103.0,5104.0,2011,1,17,16
K.R.S,44.95,121.48,2694.0,5089.0,2011,1,18,17
K.R.S,44.69,121.28,2205.0,5055.0,2011,1,19,18
K.R.S,44.44,121.09,2351.0,5049.0,2011,1,20,19
K.R.S,44.2,120.90,2347.0,5014.0,2011,1,21,20
K.R.S,43.94,120.70,2211.0,4998.0,2011,1,22,21
K.R.S,43.68,120.50,2195.0,4982.0,2011,1,23,22
K.R.S,43.45,120.32,2455.0,4946.0,2011,1,24,23
K.R.S,43.16,120.09,1709.0,4941.0,2011,1,25,24
K.R.S,42.59,119.64,1874.0,4891.0,2011,1,26,25
K.R.S,42.59,119.64,1874.0,4891.0,2011,1,27,26
K.R.S,42.34,119.44,2149.0,4618.0,2011,1,28,27
K.R.S,42.05,119.21,1682.0,4844.0,2011,1,29,28
K.R.S,41.79,119,1958.0,4830.0,2011,1,30,29
K.R.S,41.56,118.81,2277.0,4802.0,2011,1,31,30
K.R.S,41.3,118.60,1987.0,4796.0,2011,2,1,31
K.R.S,40.98,118.34,872.0,4404.0,2011,2,2,32
K.R.S,40.66,118.08,500.0,4030.0,2011,2,3,33
K.R.S,40.48,117.93,703.0,2639.0,2011,2,4,34
K.R.S,40.42,117.88,570.0,1097.0,2011,2,5,35
K.R.S,40.35,117.82,432.0,1097.0,2011,2,6,36
K.R.S,40.29,117.77,570.0,1097.0,2011,2,7,37
K.R.S,40.21,117.70,386.0,1191.0,2011,2,8,38
K.R.S,40.12,117.63,442.0,1246.0,2011,2,9,39
K.R.S,40.04,117.56,442.0,1246.0,2011,2,10,40
K.R.S,39.94,117.48,287.0,1230.0,2011,2,11,41
K.R.S,39.85,117.40,272.0,1215.0,2011,2,12,42
K.R.S,39.64,117.23,304.0,2495.0,2011,2,13,43
K.R.S,39.32,116.96,392.0,3957.0,2011,2,14,44
K.R.S,38.97,116.66,504.0,4407.0,2011,2,15,45
K.R.S,38.63,116.37,621.0,4388.0,2011,2,16,46
K.R.S,38.27,116.06,330.0,4368.0,2011,2,17,47
K.R.S,37.91,115.75,438.0,4401.0,2011,2,18,48
K.R.S,37.55,115.43,295.0,4373.0,2011,2,19,49
K.R.S,37.18,115.11,342.0,4420.0,2011,2,20,50
K.R.S,36.81,114.78,264.0,4409.0,2011,2,21,51
K.R.S,36.44,114.45,274.0,4387.0,2011,2,22,52
K.R.S,36.09,114.14,522.0,4376.0,2011,2,23,53
K.R.S,35.86,113.93,1823.0,4364.0,2011,2,24,54
K.R.S,35.61,113.70,1597.0,4353.0,2011,2,25,55
K.R.S,35.38,113.49,1839.0,4342.0,2011,2,26,56
K.R.S,35.13,113.26,1574.0,4330.0,2011,2,27,57
K.R.S,34.85,113,1187.0,4322.0,2011,2,28,58
K.R.S,34.51,112.69,635.0,4314.0,2011,3,1,59
K.R.S,34.17,112.37,500.0,4302.0,2011,3,2,60
K.R.S,33.83,112.05,500.0,4290.0,2011,3,3,61
K.R.S,33.5,111.73,565.0,4281.0,2011,3,4,62
K.R.S,33.5,111.73,565.0,4281.0,2011,3,5,63
K.R.S,33.38,111.62,1411.0,1014.0,2011,3,6,64
K.R.S,33.37,111.61,1041.0,1014.0,2011,3,7,65
K.R.S,33.37,111.61,950.0,914.0,2011,3,8,66
K.R.S,33.38,111.62,1191.0,914.0,2011,3,9,67
K.R.S,33.39,111.63,1191.0,914.0,2011,3,10,68
K.R.S,33.4,111.64,1240.0,964.0,2011,3,11,69
K.R.S,33.4,111.64,1120.0,964.0,2011,3,12,70
K.R.S,33.35,111.59,1017.0,1464.0,2011,3,13,71
K.R.S,33.14,111.39,579.0,2835.0,2011,3,14,72
K.R.S,32.79,111.05,260.0,4204.0,2011,3,15,73
K.R.S,32.43,110.70,262.0,4245.0,2011,3,16,74
K.R.S,32.08,110.35,270.0,4228.0,2011,3,17,75
K.R.S,31.72,110,254.0,4212.0,2011,3,18,76
K.R.S,31.43,109.71,1028.0,4202.0,2011,3,19,77
K.R.S,31.12,109.40,788.0,4192.0,2011,3,20,78
K.R.S,30.77,109.04,205.0,4184.0,2011,3,21,79
K.R.S,30.46,108.73,641.0,3974.0,2011,3,22,80
K.R.S,30.16,108.42,638.0,3960.0,2011,3,23,81
K.R.S,29.84,108.09,407.0,3954.0,2011,3,24,82
K.R.S,29.57,107.80,902.0,3947.0,2011,3,25,83
K.R.S,29.28,107.50,802.0,3934.0,2011,3,26,84
K.R.S,29.03,107.23,1124.0,3928.0,2011,3,27,85
K.R.S,28.76,106.95,1021.0,2922.0,2011,3,28,86
K.R.S,0.0,106.64,0.0,0.0,2011,3,29,87
K.R.S,28.2,106.34,625.0,4109.0,2011,3,30,88
K.R.S,27.89,106,613.0,4097.0,2011,3,31,89
K.R.S,27.57,105.65,587.0,4089.0,2011,4,1,90
K.R.S,27.26,105.30,632.0,4082.0,2011,4,2,91
K.R.S,26.92,104.92,330.0,4073.0,2011,4,3,92
K.R.S,26.57,104.52,194.0,4068.0,2011,4,4,93
K.R.S,26.21,104.12,189.0,4063.0,2011,4,5,94
K.R.S,25.86,103.71,150.0,4056.0,2011,4,6,95
K.R.S,25.51,103.30,172.0,4048.0,2011,4,7,96
K.R.S,25.17,102.90,287.0,4041.0,2011,4,8,97
K.R.S,24.85,102.52,547.0,4036.0,2011,4,9,98
K.R.S,24.79,102.45,631.0,1125.0,2011,4,10,99
K.R.S,24.74,102.39,725.0,1122.0,2011,4,11,100
K.R.S,24.7,102.34,822.0,1122.0,2011,4,12,101
K.R.S,24.66,102.29,822.0,1122.0,2011,4,13,102
K.R.S,24.64,102.27,1111.0,1121.0,2011,4,14,103
K.R.S,24.63,102.26,1207.0,1121.0,2011,4,15,104
K.R.S,24.63,102.26,1304.0,1121.0,2011,4,16,105
K.R.S,24.67,102.30,1691.0,1121.0,2011,4,17,106
K.R.S,24.72,102.36,1885.0,1122.0,2011,4,18,107
K.R.S,24.63,102.25,1530.0,2400.0,2011,4,19,108
K.R.S,24.36,101.93,943.0,3827.0,2011,4,20,109
K.R.S,24.12,101.63,1186.0,3825.0,2011,4,21,110
K.R.S,24.01,101.50,2787.0,3824.0,2011,4,22,111
K.R.S,24.17,101.70,4701.0,2628.0,2011,4,23,112
K.R.S,24.42,102,3586.0,570.0,2011,4,24,113
K.R.S,24.71,102.35,4146.0,571.0,2011,4,25,114
K.R.S,24.88,102.55,2802.0,676.0,2011,4,26,115
K.R.S,24.96,102.65,1840.0,680.0,2011,4,27,116
K.R.S,25.04,102.75,1840.0,680.0,2011,4,28,117
K.R.S,25.11,102.83,1647.0,681.0,2011,4,29,118
K.R.S,25.17,102.90,1551.0,681.0,2011,4,30,119
K.R.S,25.02,102.72,1719.0,3247.0,2011,5,1,120
K.R.S,24.88,102.55,1815.0,3246.0,2011,5,2,121
K.R.S,24.73,102.37,2112.0,3640.0,2011,5,3,122
K.R.S,24.53,102.13,1894.0,4001.0,2011,5,4,123
K.R.S,24.3,101.85,1783.0,4244.0,2011,5,5,124
K.R.S,24.04,101.54,1526.0,4241.0,2011,5,6,125
K.R.S,23.72,101.14,870.0,4433.0,2011,5,7,126
K.R.S,23.36,100.70,554.0,4426.0,2011,5,8,127
K.R.S,22.99,100.23,303.0,4419.0,2011,5,9,128
K.R.S,22.62,99.75,312.0,4464.0,2011,5,10,129
K.R.S,22.24,99.26,266.0,4456.0,2011,5,11,130
K.R.S,21.86,98.77,308.0,4447.0,2011,5,12,131
K.R.S,21.47,98.25,187.0,4531.0,2011,5,13,132
K.R.S,21.08,97.72,156.0,4525.0,2011,5,14,133
K.R.S,20.71,97.22,459.0,4518.0,2011,5,15,134
K.R.S,20.33,96.70,348.0,4512.0,2011,5,16,135
K.R.S,19.98,96.21,630.0,4506.0,2011,5,17,136
K.R.S,19.63,95.71,600.0,4499.0,2011,5,18,137
K.R.S,19.29,95.21,637.0,4492.0,2011,5,19,138
K.R.S,19.14,95,2967.0,4488.0,2011,5,20,139
K.R.S,18.94,94.70,2148.0,4333.0,2011,5,21,140
K.R.S,18.66,94.29,1216.0,4264.0,2011,5,22,141
K.R.S,18.36,93.85,1002.0,4254.0,2011,5,23,142
K.R.S,18.05,93.37,843.0,4341.0,2011,5,24,143
K.R.S,17.72,92.87,707.0,4332.0,2011,5,25,144
K.R.S,17.57,92.63,1225.0,2849.0,2011,5,26,145
K.R.S,17.43,92.41,1186.0,2661.0,2011,5,27,146
K.R.S,17.34,92.28,2001.0,2809.0,2011,5,28,147
K.R.S,17.24,92.12,1776.0,2807.0,2011,5,29,148
K.R.S,17.13,91.94,1637.0,2805.0,2011,5,30,149
K.R.S,17.12,91.93,1126.0,1047.0,2011,5,31,150
K.R.S,17.13,91.95,1306.0,1047.0,2011,6,1,151
K.R.S,17.14,91.97,1163.0,897.0,2011,6,2,152
K.R.S,17.16,92,1030.0,692.0,2011,6,3,153
K.R.S,17.27,92.16,1799.0,488.0,2011,6,4,154
K.R.S,17.36,92.30,1652.0,490.0,2011,6,5,155
K.R.S,17.45,92.44,1653.0,490.0,2011,6,6,156
K.R.S,17.61,92.70,2544.0,491.0,2011,6,7,157
K.R.S,17.94,93.20,4369.0,495.0,2011,6,8,158
K.R.S,18.23,93.65,4056.0,498.0,2011,6,9,159
K.R.S,18.46,94,3296.0,501.0,2011,6,10,160
K.R.S,18.68,94.32,3145.0,507.0,2011,6,11,161
K.R.S,18.88,94.62,3142.0,660.0,2011,6,12,162
K.R.S,19.14,95,3771.0,663.0,2011,6,13,163
K.R.S,19.56,95.60,5631.0,666.0,2011,6,14,164
K.R.S,19.83,96,5524.0,2170.0,2011,6,15,165
K.R.S,20.05,96.30,7231.0,4613.0,2011,6,16,166
K.R.S,20.3,96.65,7281.0,4243.0,2011,6,17,167
K.R.S,20.49,96.92,6659.0,4296.0,2011,6,18,168
K.R.S,20.72,97.23,7460.0,4712.0,2011,6,19,169
K.R.S,21.47,98.25,13575.0,4722.0,2011,6,20,170
K.R.S,21.92,98.85,10210.0,4838.0,2011,6,21,171
K.R.S,22.04,99,6603.0,5156.0,2011,6,22,172
K.R.S,22.07,99.05,4126.0,3537.0,2011,6,23,173
K.R.S,22.11,99.10,2997.0,2408.0,2011,6,24,174
K.R.S,22.09,99.07,3315.0,3442.0,2011,6,25,175
K.R.S,21.98,98.93,4062.0,5158.0,2011,6,26,176
K.R.S,22.04,99,7246.0,6496.0,2011,6,27,177
K.R.S,22.42,99.50,11483.0,6864.0,2011,6,28,178
K.R.S,23.07,100.33,13481.0,5829.0,2011,6,29,179
K.R.S,23.72,101.15,12609.0,4893.0,2011,6,30,180
K.R.S,23.94,101.42,7601.0,4907.0,2011,7,1,181
K.R.S,23.97,101.45,5463.0,5058.0,2011,7,2,182
K.R.S,23.89,101.35,4238.0,5058.0,2011,7,3,183
K.R.S,23.9,101.36,5273.0,5057.0,2011,7,4,184
K.R.S,23.94,101.42,5594.0,4908.0,2011,7,5,185
K.R.S,23.9,101.36,4464.0,4908.0,2011,7,6,186
K.R.S,23.84,101.29,4368.0,4907.0,2011,7,7,187
K.R.S,23.88,101.34,5499.0,4906.0,2011,7,8,188
K.R.S,23.98,101.46,6160.0,4908.0,2011,7,9,189
K.R.S,24.03,101.53,5690.0,4910.0,2011,7,10,190
K.R.S,24.05,101.55,5220.0,4910.0,2011,7,11,191
K.R.S,23.94,101.42,4311.0,5415.0,2011,7,12,192
K.R.S,23.72,101.15,4629.0,7052.0,2011,7,13,193
K.R.S,23.54,100.92,4328.0,6357.0,2011,7,14,194
K.R.S,23.6,101,5123.0,4269.0,2011,7,15,195
K.R.S,24.13,101.65,9941.0,3694.0,2011,7,16,196
K.R.S,25.1,102.82,15112.0,3766.0,2011,7,17,197
K.R.S,26.46,104.40,19715.0,3868.0,2011,7,18,198
K.R.S,28.28,106.42,25174.0,4030.0,2011,7,19,199
K.R.S,30.12,108.37,26462.0,5035.0,2011,7,20,200
K.R.S,31.77,110.05,25387.0,6094.0,2011,7,21,201
K.R.S,32.89,111.15,19418.0,6280.0,2011,7,22,202
K.R.S,33.83,112.05,16054.0,5044.0,2011,7,23,203
K.R.S,34.79,112.95,14898.0,3641.0,2011,7,24,204
K.R.S,35.88,113.95,16473.0,3703.0,2011,7,25,205
K.R.S,37.35,115.26,20956.0,3793.0,2011,7,26,206
K.R.S,38.47,116.23,16946.0,3876.0,2011,7,27,207
K.R.S,38.98,116.67,10980.0,4859.0,2011,7,28,208
K.R.S,39.2,116.86,9855.0,7119.0,2011,7,29,209
K.R.S,39.49,117.10,10546.0,7101.0,2011,7,30,210
K.R.S,39.64,117.23,9418.0,7452.0,2011,7,31,211
K.R.S,39.73,117.30,8588.0,7453.0,2011,8,1,212
K.R.S,40.09,117.60,11803.0,7467.0,2011,8,2,213
K.R.S,40.27,117.75,9753.0,7496.0,2011,8,3,214
K.R.S,41.14,118.47,17821.0,7515.0,2011,8,4,215
K.R.S,42.42,119.50,22583.0,7642.0,2011,8,5,216
K.R.S,43.71,120.52,25043.0,9903.0,2011,8,6,217
K.R.S,44.78,121.35,31784.0,19176.0,2011,8,7,218
K.R.S,45.63,122,30172.0,20131.0,2011,8,8,219
K.R.S,46.19,122.42,27121.0,20420.0,2011,8,9,220
K.R.S,46.43,122.60,18452.0,15466.0,2011,8,10,221
K.R.S,47.05,123.06,15732.0,8390.0,2011,8,11,222
K.R.S,47.45,123.35,13232.0,8440.0,2011,8,12,223
K.R.S,47.69,123.53,11512.0,8460.0,2011,8,13,224
K.R.S,48.13,123.85,13774.0,8508.0,2011,8,14,225
K.R.S,48.61,124.20,14327.0,8518.0,2011,8,15,226
K.R.S,49.17,124.60,15197.0,8529.0,2011,8,16,227
K.R.S,49.45,124.80,11977.0,8539.0,2011,8,17,228
K.R.S,49.24,124.65,6324.0,8539.0,2011,8,18,229
K.R.S,48.96,124.45,5511.0,8534.0,2011,8,19,230
K.R.S,48.66,124.23,5165.0,8527.0,2011,8,20,231
K.R.S,48.29,123.97,4523.0,8520.0,2011,8,21,232
K.R.S,48.16,123.87,7122.0,8513.0,2011,8,22,233
K.R.S,48.25,123.94,9810.0,8513.0,2011,8,23,234
K.R.S,48.2,123.90,9072.0,9515.0,2011,8,24,235
K.R.S,48.13,123.85,9975.0,10577.0,2011,8,25,236
K.R.S,48.09,123.82,11353.0,11637.0,2011,8,26,237
K.R.S,47.98,123.74,10560.0,11635.0,2011,8,27,238
K.R.S,47.87,123.66,10551.0,11627.0,2011,8,28,239
K.R.S,47.82,123.62,11179.0,11622.0,2011,8,29,240
K.R.S,47.65,123.50,9893.0,11601.0,2011,8,30,241
K.R.S,47.79,123.60,13370.0,11598.0,2011,8,31,242
K.R.S,48.34,124,18132.0,11631.0,2011,9,1,243
K.R.S,48.68,124.25,23436.0,19190.0,2011,9,2,244
K.R.S,48.53,124.14,33183.0,34752.0,2011,9,3,245
K.R.S,48.68,124.25,38713.0,36728.0,2011,9,4,246
K.R.S,48.54,124.15,46011.0,47419.0,2011,9,5,247
K.R.S,48.39,124.04,39358.0,40927.0,2011,9,6,248
K.R.S,48.02,123.77,31018.0,35096.0,2011,9,7,249
K.R.S,47.65,123.50,22669.0,26734.0,2011,9,8,250
K.R.S,47.79,123.60,17895.0,16107.0,2011,9,9,251
K.R.S,47.88,123.67,15081.0,13769.0,2011,9,10,252
K.R.S,47.9,123.68,14102.0,13738.0,2011,9,11,253
K.R.S,47.99,123.75,15059.0,13746.0,2011,9,12,254
K.R.S,48.17,123.88,16024.0,13762.0,2011,9,13,255
K.R.S,48.14,123.86,13863.0,13974.0,2011,9,14,256
K.R.S,48.03,123.78,12904.0,13965.0,2011,9,15,257
K.R.S,47.93,123.70,12891.0,13952.0,2011,9,16,258
K.R.S,48.03,123.78,15422.0,13952.0,2011,9,17,259
K.R.S,48.27,123.95,9854.0,6960.0,2011,9,18,260
K.R.S,48.34,124,7957.0,6961.0,2011,9,19,261
K.R.S,48.41,124.05,7975.0,6961.0,2011,9,20,262
K.R.S,48.46,124.09,7815.0,6961.0,2011,9,21,263
K.R.S,48.38,124.03,6200.0,6961.0,2011,9,22,264
K.R.S,48.24,123.93,5575.0,6961.0,2011,9,23,265
